Sample	ID	Cell_line	Treatment	Cell_stage	Type	Protein	Replicate	Batch
CAPH_G2_N_D_Input_1	IN-CH-1	D	N	G2	Input	CAPH	1	Apr_2022
CAPH_G2_N_D_Input_2	IN-CH-2	D	N	G2	Input	CAPH	2	Apr_2022
CAPH_5min_N_D_Input_1	IN-CH-3	D	N	5min	Input	CAPH	1	Apr_2022
CAPH_5min_N_D_Input_2	IN-CH-4	D	N	5min	Input	CAPH	2	Apr_2022
CAPH_7.5min_N_D_Input_1	IN-CH-5	D	N	7.5min	Input	CAPH	1	Apr_2022
CAPH_7.5min_N_D_Input_2	IN-CH-6	D	N	7.5min	Input	CAPH	2	Apr_2022
CAPH_30min_N_D_Input_1	IN-CH-7	D	N	30min	Input	CAPH	1	Apr_2022
CAPH_30min_N_D_Input_2	IN-CH-8	D	N	30min	Input	CAPH	2	Apr_2022
SMC3_G2_N_D_Input_1	IN-SM3-9	D	N	G2	Input	SMC3	1	Apr_2022
SMC3_G2_N_D_Input_2	IN-SM3-10	D	N	G2	Input	SMC3	2	Apr_2022
SMC3_5min_N_D_Input_1	IN-SM3-11	D	N	5min	Input	SMC3	1	Apr_2022
SMC3_5min_N_D_Input_2	IN-SM3-12	D	N	5min	Input	SMC3	2	Apr_2022
CAPH_G2_N_D_IP_1	IP-CH-1	D	N	G2	IP	CAPH	1	Apr_2022
CAPH_G2_N_D_IP_2	IP-CH-2	D	N	G2	IP	CAPH	2	Apr_2022
CAPH_5min_N_D_IP_1	IP-CH-3	D	N	5min	IP	CAPH	1	Apr_2022
CAPH_5min_N_D_IP_2	IP-CH-4	D	N	5min	IP	CAPH	2	Apr_2022
CAPH_7.5min_N_D_IP_1	IP-CH-5	D	N	7.5min	IP	CAPH	1	Apr_2022
CAPH_7.5min_N_D_IP_2	IP-CH-6	D	N	7.5min	IP	CAPH	2	Apr_2022
CAPH_30min_N_D_IP_1	IP-CH-7	D	N	30min	IP	CAPH	1	Apr_2022
CAPH_30min_N_D_IP_2	IP-CH-8	D	N	30min	IP	CAPH	2	Apr_2022
SMC3_G2_N_D_IP_1	IP-SM3-9	D	N	G2	IP	SMC3	1	Apr_2022
SMC3_G2_N_D_IP_2	IP-SM3-10	D	N	G2	IP	SMC3	2	Apr_2022
SMC3_5min_N_D_IP_1	IP-SM3-11	D	N	5min	IP	SMC3	1	Apr_2022
SMC3_5min_N_D_IP_2	IP-SM3-12	D	N	5min	IP	SMC3	2	Apr_2022
TOPOII_G2_N_D_IP_1	IP_1_TopoII	D	N	G2	IP	TOPOII	1	Aug_2022
